author
Kiyoshi Kanazawa
Aliakbar Akbaritabar
Narges Azizi Fard
Russell Wang
Gloria Wai Shan Ma
Kristina Gligoric
Alexander Teytelboym
Benjamin Ooghe-Tabanou
Shoko Wakamiya
Leping Wang
Aaron Schecter
Daniel B. Larremore
Ashkan Kazemi
Jonghyun Lee
Philip Borgmann
Anne-Marie Nussberger
Johannes Sorger
Tsuhan Chen
Ahmad Pratama
Mariano G. Beiró
Mark Levene
Xinyi Wang
Jeremy Blackburn
Morgan Frank
Amelia Hassoun
Dashun Wang
Lydia Stone
Derek Greene
Victoria Medvec
Brian Parkinson
Bruno Pinaud
Ana Vranić
Karandeep Singh
Cristian Candia
Aaron Clauset
Daniele Quercia
Isaac Waller
Kiran Garimella
Hao Cui
N'Godjigui Junior Diarrassouba
Felix Soldner
Minali Aggarwal
Marc Keuschnigg
Jiliang Tang
Jaehyuk Park
Tomáš Diviák
Leonie Neuhäuser
Wei Shan
Katharina Tittel
Ying Kiat Tan
Yifan Qian
Hendrik Schawe
Jennifer Pan
Ger Graus
Allison Morgan
Arjunil Pathak
Przemyslaw Grabowicz
Ian Van Buskirk
Rebekah Overdorf
Polina Revina
Paul Resnick
Guo Xiaolei
Andreï Mogoutov
Jorge Rudas
Giovanni Luca Ciampaglia
Roger Guimerà
Bogdan State
Kristen Flaherty
Hong Chen
Shengchun Huang
Charlotte Hemelrijk
Peter Klimek
Max Pellert
Deborah Lupton
Iacopo Pozzana
Suman Kalyan Maity
Krisztián Boros
Leib Margarita
Brent Hecht
Elahe Naserian
K. Hunter Wapman
Jason Yan
Mary Sanford
Maxwell Aliapoulios
Luz Angela Narvaez
Daniele Rama
Amin Endah Sulistiawati
Alex Pentland
Markus Reiter-Haas
Karoly Takacs
Judith Kas
Johan Ugander
Muyang Li
Hans Gersbach
Egemen Sert
Alberto Stefanelli
Sebastian Munoz-Najar Galvez
Frank Takes
Sofia Dokuka
Tung-Duong Mai
Bianca Beersma
Esther Denecke
Gianluca Stringhini
Nitin Agarwal
Ahmed Furkan Özkalay
Christian Czymara
Abiram Gangavaram
Yilmazcan Ozyurt
Justin Chun-Ting Ho
George Pallis
Timoté Vaucher
Jorge Victorino
Frank Neumann
Anna Di Natale
Bas Hofstra
Ceren Budak
Alicia Cork
Lanu Kim
Sophie Lohmann
Luca Belli
Juan Chen
Matthew R. Deverna
Svetlana Zhuchkova
Nicholas LaBerge
Marios Dikaiakos
Michael Schaub
Doug Beeferman
Sadamori Kojaku
Angelika Tsivinskaya
Lana Sanyoura
Jacqueline Hannan
Anthony Chen
Brooke Foucault Welles
Alper Özbilen
Xiancheng Li
Nicola Castaldo
Oriol Artime
Ashiqur Khudabukhsh
Sayan Ghosh
Sundong Kim
Hari Raghavan
Hirokazu Shirado
P Kumar Sachin
Charalampos Saitis
Karl Aberer
Harvey McGuinness
Kenneth Joseph
Filippo Menczer
Dan Frankowski
George Berry
Taichi Murayama
Maya Josifovska
Christopher Torres-Lugo
Sourav Medya
Aleksandra Alorić
Zhang Yundi
Tiago Teixeira Santos
Subhro Das
Alexander Brand
Michael Macy
Markus Mobius
Martina Testori
Thomas Hills
Roger Guimera
Laura Hernández
Michele Catasta
James Gross
Takayuki Mizuno
Carles Muntaner
Denis Helic
Jule Scheper
Mikhail Sirenko
Markus Strohmaier
Luca Carbone
José-Ignacio Alvarez-Hamelin
Alvin Zhou
Karunakar Reddy Mannem
Ho-Chun Herbert Chang
Pik-Mai Hui
Sven Banisch
Cameron Martel
Kongmeng Liew
Chuqing Zhao
Daniel Haberly
Alice Battiston
Sam Zhang
Dominique Cardon
Stefan Thurner
Anna Telling
Yutao Chen
Sungwon Han
Jia Mengzhen
Jason Nurse
Eric Leclercq
Daniel Barkoczi
Anirban Dasgupta
Jure Leskovec
Johannes Breuer
Lan Luo
Timofey Yalov
Teodoro Criscione
Kangsan Lee
Miriam Redi
Jennifer Allen
Yang Wang
Deb Roy
Antonio Sirianni
Lingfei Wu
Gianmarco De Francisci Morales
Shohei Doi
Mattia Samory
Rense Corten
Keenan Jones
Scott Hale
Savvas Zannettou
Emőke-Ágnes Horvát
