,author
761,Jakob Palinger
762,Jamell Dacon
763,James Bagrow
764,James Deitrick
765,James Evans
766,James Gross
767,James Houghton
768,James Moffet
769,James P. Gleeson 
770,James Siderius
771,Jan Kubik
772,Jan Laan
773,Jan Overgoor
774,Jan Van Bavel
775,Jan Voltaire Vergara
776,Jan van der Laan 
777,Jana Diesner
778,Jana Lasser
779,Jane Adams
780,Janet Xu
781,Janina Sarol
782,Janos Kertesz
783,Jared Katzman
784,Jaron Harambam 
785,Jaroslav Ramik
786,Jason Burton
787,Jason Jones
788,Jason Nurse
789,Jason Yan
790,Jasser Jasser
791,Javier Alvarez-Galvez 
792,Javier Borge-holthoefer
793,Javier Garcia-Bernardo
794,Jay Kachhadia
795,Jayesh Choudhari
796,Je Hoon Chae
797,Jean Garcia-gathright
798,Jean-Philippe Cointet
799,Jean-francois Bonnefon
800,Jean-michel Dalle
801,Jean-philippe Cointet
802,Jeanie Lim
803,Jeehye Choi
804,Jeff Dieffenbach
805,Jeff Lockhart
806,Jeffery Schank
807,Jeffrey Quinn
808,Jeffrey Sternberg
809,Jenna Sherman
810,Jennifer Allen
811,Jennifer Gewinner 
812,Jennifer L. Walsh
813,Jennifer Pan
814,Jennifer Stromer-galley
815,Jennifer Van Hook
816,Jens Wäckerle
817,Jeongwook Kim
818,Jeremiah Milbauer
819,Jeremy Blackburn
820,Jeremy Dohmann
821,Jeremy Ward
822,Jeremy Yang
823,Jeroen Bruggeman
824,Jeroen van Den Ochtend
825,Jeroen van den Hoven
826,Jesse Hoey
827,Jesse Michael Fagan
828,Jesse Shore
829,Jessica Flack
830,Jessica Jacobson
831,Jessica Kim
832,Jessica Nordell
833,Jessica Santana
834,Jessy Han
835,Ji Kim
836,Jia Mengzhen
837,Jiajun Bao
838,Jian Gao
839,Jian Zhu
840,Jiangmeng Liu
841,Jianjian Gao
842,Jianliang Yang
843,Jianyin Roachell
844,Jiaxin Pei
845,Jie Zhuang
846,Jihye Lee
847,Jiliang Tang
848,Jimmy Peng
849,Jin Yap
850,Jing Zeng
851,Jingbo Meng
852,Jiri Mazurek
853,Jisun An
854,Jisung Yoon
855,Jiwan Jeong
856,Jiyoung Han
857,Joachim Trebbe
858,Joana Gonçalves-Sá
859,Joana Gonçalves-Sá 
860,Joana Mendonça
861,Jodi Basner
862,Joe Hoover
863,Joe Nudell
864,Johan Ugander
865,Johanna Temps
866,Johannes Breuer
867,Johannes Langguth
868,Johannes Sorger
869,Johannes Wachs
870,John Bollenbacher
871,John Bryden
872,John Lach
873,John Lang
874,John Rickford
875,John Scott
876,John Skvoretz
877,John Stankovic 
878,John Ziegler
879,Johnnatan Messias
880,Jon Kleinberg
881,Jon Mcphetres
882,Jonas L. Juul
883,Jonas Paul Schöne
884,Jonas Stein
885,Jonathan Mijs
886,Jonathan Morgan
887,Jonathan Zong
888,Jonghyun Lee
889,Jorge Rudas
890,Jorge Victorino
891,Jos Lemmink
892,Jose Carlock
893,Jose Halloy
894,Joselina Davyt
895,Josep Perello
896,Joseph Hoover
897,Joseph Williams
898,Joshua Becker
899,Joshua Becker 
900,Joshua Blumenstock
901,Joshua Introne
902,Joshua Minot
903,Joshua Plotkin
904,Joshua Tucker
905,José-Ignacio Alvarez-Hamelin
906,Joyce Delnoij
907,Ju-sung Lee
908,Juan Chen
909,Juan Losada
910,Juan Serrano
911,Judith Kas
912,Judith Moeller
913,Juhi Kulshrestha
914,Jule Scheper
915,Julia Atienza-barthelemy
916,Julia Galantai
917,Julia Koltai
918,Julia Mendelsohn
919,Julia Minson
920,Julian Kohne
921,Julian Vicens
922,Juliano Cavalli
923,Julie Jiang
924,Julio Linares
925,Junbum Lee
926,Jungseock Joo
927,Junichi Ozaki
928,Junjie Wu
929,Junjun Yin
930,Junming Huang
931,Jure Leskovec
932,Justin Chun-Ting Ho
933,Justin Ho
934,Justin Reich
935,Justus Uitermark
936,Jutta Bopp
937,János Kertész
938,János Kertész 
939,Júlia Koltai
940,K. Hunter Wapman
941,Kai-Cheng Yang
942,Kaicheng Yang
943,Kami Vaniea
944,Kangsan Lee
945,Kanyao Han
946,Kara L. Johnson
947,Karandeep Singh
948,Karen White
949,Karl Aberer
950,Karoline Wiesner
951,Karoly Bozsonyi
952,Karoly Takacs
953,Karrie Karahalios
954,Kartiki Maheshwari
955,Karunakar Reddy Mannem
956,Kasper Welbers
957,Kate Furman 
958,Katerina Guba
959,Katharina Tittel
960,Katherine A. Cronin
961,Katherine Carroll
962,Katherine Engelke 
963,Katherine Haenschen
964,Katherine O'Toole
965,Katherine Pham
966,Kathleen Carley
967,Katie Roehrick
968,Katrin Weller
969,Kaustav Basu
970,Kayla Haye
971,Kayla de la Haye
972,Kazuhiro Ueda
973,Kazutoshi Sasahara
974,Keenan Jones
975,Kehan Li
976,Keigo Kusumegi
977,Kelsey Linnell
978,Kenji Itao
979,Kenneth Joseph
980,Kenneth Wapman
981,Keran Rong
982,Kevin Brito
983,Kevin S Chan
984,Kevin S. Chan
985,Keyon Vafa
986,Khyati Mahajan 
987,Kieran Mepham
988,Kimon Kieslich
989,King-wa Fu
990,Kinga Makovi
991,Kira von Kleist
992,Kiran Garimella
993,Kiran Sharma
994,Kirill Martynov
995,Kiyoshi Izumi
996,Kiyoshi Kanazawa
997,Kleber A. Oliveira
998,Koen Schoors
999,Kokil Jaidka
1000,Kongmeng Liew
1001,Konstantin Pogorelov
1002,Kostas Stathoulopoulos
1003,Krish Perumal
1004,Krishna Gummadi 
1005,Krishnaprasad Thirunarayan
1006,Kristen Altenburger
1007,Kristen Flaherty
1008,Kristina Gligoric
1009,Kristina Lerman
1010,Kristina Lerman 
1011,Krisztian Varga
1012,Krisztián Boros
1013,Ksenia Mukhina
1014,Kuansan Wang
1015,Kunhao Yang
1016,Kunihiko Kaneko
1017,Kunihiro Miyazaki
1018,Kunwoo Park
1019,Kush R. Varshney
1020,Kyriacos Vitalis
1021,Kyriaki Kalimeri
1022,Kyriaki Kalimeri 
1023,Lada Adamic 
1024,Laila Wahedi
1025,Laiyang Ke
1026,Lakshmi Subramanian
1027,Lan Jiang
1028,Lan Luo
1029,Lana Bilalova
1030,Lana Sanyoura
1031,Lanu Kim
1032,Lara Lofdahl
1033,Laszlo Lorincz
1034,Launy Schweiger
1035,Laura Alessandretti
1036,Laura Hernandez
1037,Laura Hernández
1038,Laura Laugwitz
1039,Laurent Cordonier
1040,Lea Brandt
1041,Leah Rosenzweig
1042,Leib Margarita
1043,Leila Zia
1044,Lena Clever
1045,Lena Frischlich
1046,Leo Bauer
1047,Leo Ferres
1048,Leonardo Ferreira
1049,Leonardo Nicoletti
1050,Leonie Neuhäuser
1051,Leping Wang
1052,Lev Manovich
1053,Levin Brinkmann
1054,Lewis Mitchell
1055,Lia Bozarth
1056,Liangwei Chen
1057,Liat Ayalon
1058,Likun Cao
1059,Lili Aunimo
1060,Lili Miao
1061,Lilia Perfeito
1062,Lillio Mok
1063,Lin Wang
1064,Lina Ramos
1065,Ling Dong
1066,Lingfei Wu
1067,Lingfei Wu 
1068,Lingqing Jiang
1069,Linzhuo Li
1070,Lionel Robert
1071,Lisa Friedland
1072,Lise Getoor
1073,Lisette Espín-Noboa
1074,Lizhen Liang
1075,Lluc Font-Pomarol
1076,Lluis Danus
1077,Longqi Yang
1078,Lorena Cano-Orón
1079,Lorenzo Gabrielli
1080,Lorenzo Lucchini
1081,Lorien Jasny
1082,Lu Liu
1083,Lu Ou
1084,Luca Aiello
1085,Luca Belli
1086,Luca Carbone
1087,Luca Pappalardo
1088,Luca Rossi
1089,Luca Verginer
1090,Lucas Böttcher
1091,Lucas Maystre
1092,Luce le Gorrec
1093,Lucia Falzon
1094,Ludovico Napoli
1095,Luis Amaral
1096,Luis C. Reyes
1097,Luis Cueto-Felgueroso
1098,Luis Luque
1099,Luisa Fernanda Chaparro
1100,Lukas Richter
1101,Luke Archer
1102,Luke Dickens
1103,Lulu Peng
1104,Luping Wang
1105,Luz Angela Narvaez
1106,Ly Dinh
1107,Lydia Stone
1108,Lília Perfeito
1109,Maayan Levinson
1110,Madhav Joshi
1111,Mahmoudreza Babaei
1112,Maksim Tsvetovat
1113,Manal Saadi 
1114,Maneet Singh
1115,Manfred Schoch
1116,Maninder Kalra
1117,Manlio De Domenico
1118,Manoel Horta Ribeiro
1119,Manoel Ribeiro
1120,Manon Revel
1121,Mansi Sharma 
1122,Manuel Cebrian
1123,Manuel Garcia-Herranz 
1124,Manuel Herranz
1125,Manuel Tonneau
1126,Marc Keuschnigg
1127,Marc Rauckhorst
1128,Marc-Etienne Brunet
1129,Marcel Wittich 
1130,Marcin Waniek
1131,Marco Brambilla
1132,Marco Fiore
1133,Marco Gramaglia
1134,Marco Nadai
1135,Marco Tomassini 
1136,Marco Valtorta
1137,Margaret Hu
1138,Margaret McConnell 
1139,Margherita Ricotti
1140,Maria Bolsinova
1141,Maria Sahakyan
1142,Maria Teresa Pulido
1143,Mariano Beguerisse-diaz
1144,Mariano G. Beiró
1145,Mariano Gastón Beiró
1146,Marie Lindegaard 
1147,Marie Puren
1148,Marija Mitrović Dankulov
1149,Mariken A.C.G. van der Velden 
1150,Mariko Ito
1151,Marina Diakonova
1152,Marina Mancoridis
1153,Marinette Savonnet
1154,Mario Gutierrez-roig
1155,Mario Molina
1156,Marios Dikaiakos
1157,Marius Sältzer 
1158,Mark Alfano 
1159,Mark E. Whiting
1160,Mark Graus
1161,Mark Levene
1162,Mark Levine
1163,Mark Sutcliffe
1164,Mark Trappmann
1165,Mark Whiting
1166,Mark van der Loo
1167,Markus Hadler
1168,Markus Meierer 
1169,Markus Mobius
1170,Markus Reiter-Haas
1171,Markus Strohmaier
1172,Marloes Hagens
1173,Marloes Maathuis
1174,Marta C. Gonzalez
1175,Marta Rivera-Alba
1176,Marta Sales-Pardo
1177,Martijn Schoonvelde
1178,Martijn Schoonvelde 
1179,Martin Emmer
1180,Martin Hilbert
1181,Martin Lukac
1182,Martin Lukac 
1183,Martin Novák
1184,Martin Saveski
1185,Martina Szabo
1186,Martina Testori
1187,Marton Karsai
1188,Martyn Harris
1189,Mary Czerwinski
1190,Mary Sanford
1191,María Pereda
1192,Masahiro Kazama
1193,Masanori Takano
1194,Masashi Miura
1195,Masashi Toyoda
1196,Masha Krupenkin
1197,Masoomali Fatehkia
1198,Massimiliano Luca
