author
Yifan Yu
Shimpei Okuda
Ali Tafti
Jose Halloy
Daniele Quercia
Isaac Waller
Aaron Clauset
Alice Jang
David Bartl
Kiran Garimella
Peter Dodds
Bao Truong
Xiaowen Dong
Johannes Langguth
Nikolaus Parulian
Jake Hofman
David Lazer
Jaehyuk Park
Jean-francois Bonnefon
Patrick Park
Utkarshani Ja
Augustin Chaintreau
Yifan Qian
Hendrik Schawe
Dhaval Adjodah
Hannes Ullrich
Jennifer Pan
James Bagrow
Emre Calisir
Jie Zhuang
Allison Morgan
Nat Gyenes
Charles Howland
Orestis Papakyriakopoulos
Vedran Sekara
Dustin Tingley
Ling Dong
Renita Murimi
Christopher Quarles
Polina Revina
Paul Resnick
Ziv Epstein
Wen Chen
Joshua Blumenstock
Rosa Benito
Rezvaneh Rezapour
Pierre Boyer
Eckehard Olbrich
Hannah Muelder
Shengchun Huang
Edward Platt
Allison Koencke
Diego Amancio
Yamir Moreno
Dilara Kekulluoglu
Yoshiki Ishikawa
Lan Jiang
Sinan Aral
Felix Gaisbauer
Ding Lyu
Simon Dedeo
Elahe Naserian
Christoph Reuter
Burcin Bozkaya
Byron Reeves
Robin Engelhardt
Akshay Aravamudan
Marco Valtorta
Shohei Usui
Dhanya Sridhar
Mohsen Sayyadiharikandeh
Julia Minson
Vicky Yang
Alex Pentland
Dan Jurafsky
Sohan Dsouza
King-wa Fu
Giulia Cencetti
Donald Green
Flavio Pinheiro
Ben Rachunok
Matthewhew Jones
Karoly Takacs
Itsuki Noda
John Rickford
Diana Steffen
Johan Ugander
Cassidy Sugimoto
Rishabh Mehrotra
Florianne Verkroost
Egemen Sert
Muyang Li
Keyon Vafa
Sofia Dokuka
Jos Lemmink
Walid Magdy
Morteza Dehghani
Yuner Zhu
Gianluca Stringhini
Eric Chu
Danaja Maldeniya
Steve Chang
Dr Harris
Foster Provost
Mark Whiting
Tanujit Chakraborty
Albert Kao
Zhishen Huang
Daniel Acuna
Zoltan Kmetty
Kristina Lerman
Martina Szabo
Mikolaj Biesaga
Bas Hofstra
Joselina Davyt
Bill Thompson
Ceren Budak
Laurent Cordonier
Alicia Cork
Mu-jung Cho
Kaustav Basu
Jaroslav Ramik
Filipi Silva
Svetlana Zhuchkova
Xiang Ren
Doug Beeferman
Maxim Sytch
Jiyoung Han
Karoly Bozsonyi
Yan Leng
Matthewhew Turner
Clara Hanson
Mohammad Amin
Tyson Pond
Christopher Torres-lugo
Joseph Hoover
Andrew Wang
Anahit Sargsyan
Janos Kertesz
Alireza Sabet
Alfredo Morales
Daniel Putman
Daniel Mcfarland
George Lifchits
Roshan Santhosh
